,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400
MRR,0.01821,0.02318,0.02543,0.02973,0.03267,0.04225,0.04915,0.05652,0.05842,0.07167,0.08796,0.08939,0.10514,0.11655,0.14858,0.22197,0.30986,0.43402,0.51828,0.60596,0.68407,0.75401,0.80573,0.84615,0.87394,0.89533,0.91026,0.91454,0.92207,0.91967,0.92357,0.92257,0.92643,0.92461,0.92685,0.9264,0.92738,0.92681,0.92587,0.92787
MRR_h,0.00035,0.00171,0.00238,0.00466,0.00644,0.00703,0.00958,0.01308,0.01854,0.02426,0.03501,0.04309,0.05536,0.06962,0.09521,0.17099,0.25574,0.37982,0.47092,0.55633,0.66022,0.73395,0.79615,0.83695,0.86892,0.8917,0.90716,0.91292,0.91717,0.91466,0.91917,0.91744,0.92152,0.91902,0.91985,0.91868,0.91889,0.92035,0.91849,0.91944
MRR_t,0.03606,0.04464,0.04849,0.05481,0.0589,0.07748,0.08872,0.09996,0.09831,0.11908,0.14092,0.1357,0.15492,0.16348,0.20195,0.27295,0.36399,0.48822,0.56563,0.65559,0.70793,0.77407,0.81531,0.85535,0.87897,0.89897,0.91335,0.91617,0.92697,0.92468,0.92796,0.92771,0.93134,0.9302,0.93385,0.93412,0.93588,0.93328,0.93325,0.93629
H@1,0.01753,0.01753,0.01753,0.01856,0.01959,0.02577,0.0268,0.0299,0.02577,0.03711,0.05052,0.05155,0.0567,0.05876,0.08247,0.13711,0.21134,0.33402,0.41649,0.50722,0.60103,0.67938,0.7433,0.79588,0.83608,0.86598,0.89381,0.90103,0.91443,0.91031,0.91753,0.91443,0.92268,0.91856,0.92268,0.92268,0.92371,0.92268,0.92165,0.92474
H@1_h,0.0,0.0,0.0,0.00206,0.00412,0.00412,0.00412,0.00412,0.00619,0.00619,0.00825,0.02062,0.02062,0.0268,0.03711,0.09278,0.16701,0.28041,0.37732,0.44742,0.57732,0.65773,0.73196,0.78557,0.83093,0.86598,0.89691,0.90515,0.91134,0.90928,0.91546,0.9134,0.91959,0.91546,0.91753,0.91546,0.91546,0.91753,0.91546,0.91546
H@1_t,0.03505,0.03505,0.03505,0.03505,0.03505,0.04742,0.04948,0.05567,0.04536,0.06804,0.09278,0.08247,0.09278,0.09072,0.12784,0.18144,0.25567,0.38763,0.45567,0.56701,0.62474,0.70103,0.75464,0.80619,0.84124,0.86598,0.89072,0.89691,0.91753,0.91134,0.91959,0.91546,0.92577,0.92165,0.92784,0.9299,0.93196,0.92784,0.92784,0.93402
H@3,0.01753,0.01856,0.02474,0.0268,0.02577,0.03402,0.04639,0.05773,0.06701,0.06804,0.08763,0.08041,0.10928,0.11753,0.14536,0.23918,0.33093,0.47732,0.56598,0.66186,0.73402,0.80619,0.85052,0.88969,0.90515,0.91753,0.92165,0.92371,0.92371,0.92371,0.92577,0.9268,0.9268,0.92784,0.9268,0.92474,0.9268,0.92784,0.9268,0.9268
H@3_h,0.0,0.0,0.00412,0.00412,0.00412,0.00412,0.00619,0.01237,0.01443,0.01856,0.0268,0.0268,0.04948,0.06392,0.08454,0.18763,0.27629,0.41856,0.50515,0.62062,0.70722,0.78351,0.8433,0.87835,0.90103,0.90928,0.90928,0.91546,0.91753,0.9134,0.91959,0.91753,0.91959,0.91959,0.91753,0.91546,0.91753,0.91959,0.91753,0.91959
H@3_t,0.03505,0.03711,0.04536,0.04948,0.04742,0.06392,0.0866,0.10309,0.11959,0.11753,0.14845,0.13402,0.16907,0.17113,0.20619,0.29072,0.38557,0.53608,0.6268,0.70309,0.76082,0.82887,0.85773,0.90103,0.90928,0.92577,0.93402,0.93196,0.9299,0.93402,0.93196,0.93608,0.93402,0.93608,0.93608,0.93402,0.93608,0.93608,0.93608,0.93402
H@5,0.01753,0.02577,0.02784,0.03196,0.03402,0.05773,0.06598,0.07732,0.08144,0.09175,0.10928,0.10722,0.14227,0.15361,0.2,0.29381,0.41031,0.53918,0.62371,0.71959,0.78351,0.85052,0.8866,0.90619,0.92371,0.92887,0.92887,0.9268,0.9268,0.9268,0.92887,0.9268,0.92887,0.92784,0.92887,0.92887,0.9268,0.92784,0.9268,0.92887
H@5_h,0.0,0.00412,0.00412,0.00412,0.00412,0.00619,0.01031,0.01237,0.01443,0.0268,0.03918,0.04742,0.07216,0.09278,0.13402,0.22268,0.34433,0.47629,0.5567,0.68454,0.7567,0.8268,0.88247,0.89485,0.91546,0.92165,0.91959,0.91753,0.91959,0.91753,0.91959,0.91753,0.92165,0.91959,0.91959,0.92165,0.91753,0.91959,0.91753,0.92165
H@5_t,0.03505,0.04742,0.05155,0.05979,0.06392,0.10928,0.12165,0.14227,0.14845,0.1567,0.17938,0.16701,0.21237,0.21443,0.26598,0.36495,0.47629,0.60206,0.69072,0.75464,0.81031,0.87423,0.89072,0.91753,0.93196,0.93608,0.93814,0.93608,0.93402,0.93608,0.93814,0.93608,0.93608,0.93608,0.93814,0.93608,0.93608,0.93608,0.93608,0.93608
H@10,0.01753,0.03814,0.04021,0.05052,0.06082,0.07629,0.09588,0.10722,0.11237,0.13196,0.15155,0.15773,0.18351,0.21856,0.27938,0.38763,0.5,0.62887,0.72887,0.79381,0.84536,0.88969,0.91649,0.92577,0.93196,0.93608,0.93505,0.93608,0.93505,0.93299,0.93299,0.93299,0.93093,0.93299,0.93299,0.93196,0.93608,0.93093,0.93196,0.93299
H@10_h,0.0,0.00412,0.00412,0.00412,0.00825,0.00619,0.02062,0.02268,0.03711,0.04948,0.07423,0.08041,0.10722,0.13402,0.21031,0.31959,0.43711,0.56289,0.66804,0.76082,0.81443,0.87629,0.91134,0.92371,0.92371,0.92577,0.92577,0.9299,0.92784,0.92371,0.92371,0.92165,0.92371,0.92577,0.92371,0.92371,0.92371,0.92165,0.92371,0.92577
H@10_t,0.03505,0.07216,0.07629,0.09691,0.1134,0.14639,0.17113,0.19175,0.18763,0.21443,0.22887,0.23505,0.25979,0.30309,0.34845,0.45567,0.56289,0.69485,0.78969,0.8268,0.87629,0.90309,0.92165,0.92784,0.94021,0.94639,0.94433,0.94227,0.94227,0.94227,0.94227,0.94433,0.93814,0.94021,0.94227,0.94021,0.94845,0.94021,0.94021,0.94021
CWA_Sem@1,8.556701030927835,4.020618556701031,8.144329896907216,11.030927835051546,11.75257731958763,19.690721649484537,21.95876288659794,31.855670103092784,40.927835051546396,55.56701030927835,74.02061855670104,86.5979381443299,94.74226804123711,95.05154639175258,98.45360824742268,98.76288659793815,99.58762886597938,99.48453608247422,98.76288659793815,97.52577319587628,97.01030927835052,98.35051546391753,98.35051546391753,98.45360824742268,99.17525773195877,99.38144329896907,99.38144329896907,99.38144329896907,99.38144329896907,98.8659793814433,99.38144329896907,99.27835051546393,99.27835051546393,99.27835051546393,99.17525773195877,99.0721649484536,99.17525773195877,99.0721649484536,99.17525773195877,99.17525773195877
CWA_Sem@1_h,2.268041237113402,0.0,1.443298969072165,4.329896907216495,5.77319587628866,7.216494845360824,8.65979381443299,17.7319587628866,36.28865979381443,49.27835051546392,69.48453608247422,81.64948453608247,90.30927835051547,91.34020618556701,97.31958762886597,97.52577319587628,99.58762886597938,99.38144329896907,97.9381443298969,97.31958762886597,97.11340206185567,98.55670103092784,99.17525773195877,98.96907216494846,99.58762886597938,99.58762886597938,100.0,99.79381443298969,99.58762886597938,99.38144329896907,99.38144329896907,99.58762886597938,99.38144329896907,99.58762886597938,99.17525773195877,99.17525773195877,99.17525773195877,99.58762886597938,99.17525773195877,99.17525773195877
