,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400
MRR,0.09355,0.1614,0.19283,0.22598,0.24531,0.26407,0.27846,0.28797,0.29854,0.30603,0.30855,0.31507,0.31612,0.31983,0.3202,0.32186,0.32368,0.32468,0.3251,0.32612,0.32578,0.32849,0.33063,0.33165,0.33014,0.33033,0.32991,0.33214,0.33036,0.33017,0.33123,0.33105,0.33099,0.33273,0.33188,0.33261,0.33373,0.33297,0.33381,0.33362
MRR_h,0.03299,0.09975,0.13437,0.16489,0.18104,0.19728,0.21115,0.22026,0.23081,0.23847,0.24044,0.24804,0.24655,0.24986,0.25272,0.25539,0.25634,0.25824,0.25671,0.25808,0.25754,0.26092,0.26411,0.26578,0.26366,0.26338,0.26319,0.26458,0.26336,0.26286,0.26386,0.26321,0.2641,0.26599,0.26566,0.26772,0.26772,0.26806,0.26774,0.26594
MRR_t,0.1541,0.22306,0.25129,0.28707,0.30957,0.33086,0.34577,0.35568,0.36627,0.37359,0.37667,0.3821,0.38569,0.38981,0.38769,0.38833,0.39102,0.39113,0.3935,0.39415,0.39403,0.39606,0.39715,0.39752,0.39661,0.39728,0.39663,0.3997,0.39737,0.39748,0.3986,0.3989,0.39788,0.39948,0.3981,0.3975,0.39975,0.39787,0.39987,0.4013
H@1,0.06224,0.10204,0.12499,0.14918,0.16366,0.1781,0.18935,0.19606,0.20601,0.212,0.21318,0.21908,0.22123,0.2241,0.22485,0.22491,0.22622,0.22703,0.22804,0.2283,0.2271,0.23134,0.23394,0.2342,0.23176,0.23277,0.23261,0.23574,0.23287,0.2329,0.23381,0.23222,0.23238,0.23567,0.23417,0.23509,0.23629,0.23495,0.23623,0.23685
H@1_h,0.01708,0.05255,0.07779,0.09937,0.10967,0.12036,0.13014,0.13777,0.14605,0.1529,0.15316,0.15857,0.15935,0.16079,0.16476,0.16548,0.16587,0.16763,0.16653,0.16789,0.16529,0.16998,0.17428,0.17481,0.17115,0.17226,0.17129,0.17396,0.17168,0.17174,0.17213,0.16881,0.17089,0.17468,0.17441,0.17624,0.17702,0.17618,0.17539,0.17461
H@1_t,0.10739,0.15153,0.1722,0.199,0.21764,0.23583,0.24855,0.25435,0.26596,0.27111,0.2732,0.27959,0.28311,0.28741,0.28493,0.28435,0.28656,0.28643,0.28956,0.28871,0.28891,0.29269,0.2936,0.2936,0.29236,0.29328,0.29393,0.29752,0.29406,0.29406,0.29549,0.29562,0.29386,0.29667,0.29393,0.29393,0.29556,0.29373,0.29706,0.29908
H@3,0.10064,0.17357,0.20855,0.24832,0.26928,0.2908,0.30671,0.31913,0.33054,0.3384,0.34355,0.34994,0.34978,0.35519,0.35362,0.35721,0.36047,0.36154,0.36125,0.36366,0.36451,0.3652,0.36666,0.36894,0.36917,0.36744,0.36614,0.36767,0.36549,0.36696,0.36614,0.37002,0.36816,0.36846,0.36917,0.36917,0.37067,0.36979,0.36891,0.3696
H@3_h,0.03364,0.10439,0.14084,0.17826,0.19384,0.21517,0.22938,0.24014,0.25455,0.25931,0.26472,0.27489,0.26811,0.2747,0.27411,0.27959,0.28245,0.285,0.2818,0.28337,0.28611,0.28695,0.2893,0.29282,0.29184,0.29002,0.29132,0.29093,0.28858,0.28995,0.2893,0.29439,0.29054,0.29132,0.29217,0.29491,0.29576,0.29406,0.29243,0.29204
H@3_t,0.16763,0.24275,0.27626,0.31838,0.34472,0.36643,0.38404,0.39812,0.40653,0.41749,0.42238,0.42499,0.43144,0.43568,0.43314,0.43483,0.43848,0.43809,0.4407,0.44396,0.44292,0.44344,0.44402,0.44507,0.4465,0.44487,0.44096,0.44442,0.44239,0.44396,0.44298,0.44565,0.44578,0.44559,0.44618,0.44344,0.44559,0.44552,0.44539,0.44715
