,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400
MRR,0.01359,0.04505,0.06724,0.10695,0.1436,0.15733,0.18525,0.20391,0.22274,0.23669,0.25352,0.26095,0.26607,0.26858,0.28277,0.28799,0.29374,0.29766,0.3023,0.30767,0.30519,0.31224,0.32594,0.32338,0.33403,0.33729,0.34997,0.34963,0.3562,0.36082,0.35975,0.3659,0.36314,0.37614,0.37324,0.37416,0.37569,0.38125,0.38317,0.37802
MRR_h,0.00883,0.02847,0.05576,0.06346,0.06571,0.07072,0.08175,0.09296,0.09972,0.10554,0.10781,0.10923,0.1118,0.11621,0.12185,0.12527,0.12715,0.1315,0.1325,0.14112,0.13517,0.14115,0.15566,0.15742,0.17204,0.16908,0.18313,0.18233,0.18394,0.19438,0.19211,0.1953,0.18961,0.20441,0.20267,0.19892,0.20079,0.20763,0.21149,0.20496
MRR_t,0.01835,0.06162,0.07871,0.15045,0.2215,0.24394,0.28875,0.31486,0.34576,0.36785,0.39924,0.41266,0.42034,0.42096,0.4437,0.45072,0.46033,0.46382,0.47211,0.47422,0.47521,0.48334,0.49622,0.48934,0.49602,0.5055,0.51681,0.51693,0.52846,0.52725,0.5274,0.5365,0.53668,0.54787,0.5438,0.54939,0.55058,0.55487,0.55486,0.55109
H@1,0.00411,0.02107,0.03585,0.05172,0.07991,0.0873,0.11987,0.13465,0.14313,0.15545,0.16749,0.17378,0.17707,0.17323,0.18719,0.19157,0.19595,0.19951,0.20416,0.2058,0.20033,0.20443,0.22332,0.21045,0.22222,0.22551,0.23946,0.2381,0.24384,0.24849,0.24685,0.25178,0.24849,0.26656,0.26054,0.25999,0.26355,0.26793,0.26929,0.26492
H@1_h,0.00219,0.01259,0.02737,0.02846,0.0301,0.0301,0.03886,0.04817,0.04762,0.05747,0.05747,0.05583,0.06076,0.05966,0.06185,0.06732,0.06623,0.06787,0.06623,0.07718,0.06459,0.06678,0.08758,0.07882,0.09962,0.08922,0.10454,0.10235,0.10016,0.1144,0.11221,0.11002,0.10564,0.12425,0.11768,0.1144,0.11713,0.12261,0.12644,0.11932
H@1_t,0.00602,0.02956,0.04433,0.07499,0.12972,0.1445,0.20088,0.22113,0.23864,0.25342,0.2775,0.29174,0.29338,0.28681,0.31253,0.31582,0.32567,0.33114,0.34209,0.33443,0.33607,0.34209,0.35906,0.34209,0.34483,0.3618,0.37438,0.37384,0.38752,0.38259,0.3815,0.39354,0.39135,0.40887,0.40339,0.40558,0.40996,0.41325,0.41215,0.41051
H@3,0.01013,0.04105,0.06705,0.11741,0.159,0.17597,0.19376,0.21784,0.24767,0.2619,0.27942,0.29119,0.2983,0.30706,0.31856,0.32129,0.32622,0.3306,0.3347,0.34373,0.34428,0.35468,0.35878,0.36836,0.38396,0.38506,0.39847,0.39929,0.40558,0.40996,0.40586,0.41379,0.41051,0.42009,0.42282,0.42638,0.4179,0.4283,0.43268,0.42748
H@3_h,0.00438,0.02682,0.06185,0.06951,0.06951,0.07991,0.08648,0.104,0.12096,0.12206,0.12151,0.12534,0.12425,0.13027,0.13355,0.13027,0.13465,0.14176,0.14286,0.15326,0.14778,0.15818,0.16037,0.16913,0.18336,0.18829,0.19704,0.19978,0.20744,0.21346,0.20635,0.21346,0.20744,0.21894,0.22824,0.22058,0.21346,0.22441,0.23098,0.22386
H@3_t,0.01587,0.05528,0.07225,0.1653,0.24849,0.27203,0.30104,0.33169,0.37438,0.40175,0.43733,0.45703,0.47236,0.48385,0.50356,0.51232,0.51779,0.51943,0.52655,0.53421,0.54078,0.55118,0.5572,0.5676,0.58456,0.58183,0.59989,0.5988,0.60372,0.60646,0.60536,0.61412,0.61357,0.62124,0.61741,0.63218,0.62233,0.63218,0.63437,0.63109
